Date,lexicon_sentiment,transformer_sentiment,price_change_pct
2008-12-09,0.0,-0.9577235579490662,-1.6969178660245055
2008-12-11,0.0,-0.27811846137046814,3.5291154889593335
2008-12-17,-0.39999999999999997,-0.9522537589073181,-2.1162734127949445
2008-12-18,0.0,0.0,-1.934981022953186
2008-12-24,0.0,0.5792563557624817,2.5905661464032725
2008-12-30,0.0,-0.38744109869003296,1.4158358034671803
2008-12-31,0.0,0.0,0.37641848879048645
2009-01-07,0.0,-0.9753658771514893,0.3397121270611647
2009-01-08,-0.6,-0.7002713680267334,-4.338649929099847
2009-01-12,0.0,-0.9701055884361267,-7.47362857077195
2009-01-20,0.0,0.0,4.349121979086457
2009-01-21,0.15,-0.9046445488929749,-0.986622869656284
2009-01-23,0.0,-0.9455147981643677,5.065208245687836
2009-01-28,0.0,0.0,-5.515450354082541
